label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
monthly-minimum-repayment-amount	monthly_minimum_repayment_amount	monthlyMinimumRepaymentAmount	pending:				PaymentCard	MonetaryAmount, Number				The minimum payment is the lowest amount of money that one is required to pay on a credit card statement each month.
months-of-experience	months_of_experience	monthsOfExperience	pending:				OccupationalExperienceRequirements	Number				Indicates the minimal number of months of experience required for a position.
mpn	mpn	mpn					Demand, Offer, Product	Text				The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.
multiple-values	multiple_values	multipleValues					PropertyValueSpecification	Boolean				Whether multiple values are allowed for the property.  Default is false.
muscle-action	muscle_action	muscleAction					Muscle	Text				The movement the muscle generates.
music-arrangement	music_arrangement	musicArrangement					MusicComposition	MusicComposition				An arrangement derived from the composition.
music-by	music_by	musicBy					Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	MusicGroup, Person				The composer of the soundtrack.
music-composition-form	music_composition_form	musicCompositionForm					MusicComposition	Text				The type of composition (e.g. overture, sonata, symphony, etc.).
music-group-member	music_group_member	musicGroupMember					MusicGroup	Person			member	"A member of a music group&#x2014;for example, John, Paul, George, or Ringo."
music-release-format	music_release_format	musicReleaseFormat					MusicRelease	MusicReleaseFormatType				Format of this release (the type of recording media used, i.e. compact disc, digital media, LP, etc.).
musical-key	musical_key	musicalKey					MusicComposition	Text				The key, mode, or scale this composition uses.
naics	naics	naics					Organization, Person	Text				The North American Industry Classification System (NAICS) code for a particular organization or business person.
name	name	name		http://www.w3.org/2000/01/rdf-schema#label	dc:title		Thing	Text				The name of the item.
named-position	named_position	namedPosition					Role	Text, URL			roleName	A position played, performed or filled by a person or organization, as part of an organization. For example, an athlete in a SportsTeam might play in the position named 'Quarterback'.
nationality	nationality	nationality					Person	Country				Nationality of the person.
natural-progression	natural_progression	naturalProgression					MedicalCondition	Text				The expected progression of the condition if it is not treated and allowed to progress naturally.
negative-notes	negative_notes	negativeNotes	pending:				Product, Review	ItemList, ListItem, Text, WebContent				"Provides negative considerations regarding something, most typically in pro/con lists for reviews (alongside <a class=""localLink"" href=""/positiveNotes"">positiveNotes</a>). For symmetry <br/><br/>

In the case of a <a class=""localLink"" href=""/Review"">Review</a>, the property describes the <a class=""localLink"" href=""/itemReviewed"">itemReviewed</a> from the perspective of the review; in the case of a <a class=""localLink"" href=""/Product"">Product</a>, the product itself is being described. Since product descriptions 
tend to emphasise positive claims, it may be relatively unusual to find <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> used in this way. Nevertheless for the sake of symmetry, <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> can be used on <a class=""localLink"" href=""/Product"">Product</a>.<br/><br/>

The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most negative is at the beginning of the list)."
nerve	nerve	nerve					Muscle	Nerve				The underlying innervation associated with the muscle.
nerve-motor	nerve_motor	nerveMotor					Nerve	Muscle				The neurological pathway extension that involves muscle control.
net-worth	net_worth	netWorth					Person	MonetaryAmount, PriceSpecification				The total financial value of the person as calculated by subtracting assets from liabilities.
news-updates-and-guidelines	news_updates_and_guidelines	newsUpdatesAndGuidelines	pending:				SpecialAnnouncement	URL, WebContent				"Indicates a page with news updates and guidelines. This could often be (but is not required to be) the main page containing <a class=""localLink"" href=""/SpecialAnnouncement"">SpecialAnnouncement</a> markup on a site."
next-item	next_item	nextItem					ListItem	ListItem				A link to the ListItem that follows the current one.
no-bylines-policy	no_bylines_policy	noBylinesPolicy	pending:	publishingPrinciples			NewsMediaOrganization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other news-related <a class=""localLink"" href=""/Organization"">Organization</a>, a statement explaining when authors of articles are not named in bylines."
non-equal	non_equal	nonEqual					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is not equal to the object.
non-proprietary-name	non_proprietary_name	nonProprietaryName					DietarySupplement, Drug	Text				The generic name of this drug or supplement.
nonprofit-status	nonprofit_status	nonprofitStatus	pending:				Organization	NonprofitType				nonprofitStatus indicates the legal status of a non-profit organization in its primary place of business.
normal-range	normal_range	normalRange					MedicalTest	MedicalEnumeration, Text				Range of acceptable values for a typical patient, when applicable.
nsn	nsn	nsn	pending:	identifier			Product	Text				"Indicates the <a href=""https://en.wikipedia.org/wiki/NATO_Stock_Number"">NATO stock number</a> (nsn) of a <a class=""localLink"" href=""/Product"">Product</a>."
num-adults	num_adults	numAdults					LodgingReservation	Integer, QuantitativeValue				The number of adults staying in the unit.
num-children	num_children	numChildren					LodgingReservation	Integer, QuantitativeValue				The number of children staying in the unit.
num-constraints	num_constraints	numConstraints	pending:				StatisticalPopulation	Integer				"Indicates the number of constraints (not counting <a class=""localLink"" href=""/populationType"">populationType</a>) defined for a particular <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>. This helps applications understand if they have access to a sufficiently complete description of a <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>."
num-tracks	num_tracks	numTracks					MusicPlaylist	Integer				The number of tracks in this album or playlist.
number-of-accommodation-units	number_of_accommodation_units	numberOfAccommodationUnits	pending:				ApartmentComplex, FloorPlan	QuantitativeValue				"Indicates the total (available plus unavailable) number of accommodation units in an <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>, or the number of accommodation units for a specific <a class=""localLink"" href=""/FloorPlan"">FloorPlan</a> (within its specific <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>). See also <a class=""localLink"" href=""/numberOfAvailableAccommodationUnits"">numberOfAvailableAccommodationUnits</a>."
number-of-airbags	number_of_airbags	numberOfAirbags					Vehicle	Number, Text				The number or type of airbags in the vehicle.
number-of-available-accommodation-units	number_of_available_accommodation_units	numberOfAvailableAccommodationUnits	pending:				ApartmentComplex, FloorPlan	QuantitativeValue				"Indicates the number of available accommodation units in an <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>, or the number of accommodation units for a specific <a class=""localLink"" href=""/FloorPlan"">FloorPlan</a> (within its specific <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>). See also <a class=""localLink"" href=""/numberOfAccommodationUnits"">numberOfAccommodationUnits</a>."
